time,cpu,ram
0.0,0.0,1.4296875
0.2646169662475586,33.4,12.4375
0.4943540096282959,0.1,12.45703125
0.7315268516540527,0.0,12.45703125
0.9654331207275391,0.0,12.45703125
1.2029929161071777,0.0,12.45703125
1.4378559589385986,0.0,12.45703125
1.6798169612884521,0.2,12.48828125
1.9321579933166504,2.2,12.71484375
2.1864869594573975,0.0,12.71484375
4.869456768035889,100.22,77.67484375
7.174869060516357,99.51,158.51484375
9.871252059936523,99.38,77.91484375
12.184367895126343,93.06,14.52384375
12.292233943939209,0.0,12.7265625
